Platform,Slope (Trend),Intercept
DS,3.2870065789473655,-6524.6126644736805
PSTow,1.8868656015037393,-3724.376997180412
Wii,1.8664494115724102,-3706.820396779996
PSP,1.7623150948022281,-3499.778762463235
PSThree,1.643827639751563,-3268.018827639772
XThreeSixZero,1.1486954478587827,-2281.9677743952384
ThreeDS,1.1109175792742834,-2210.627364947717
PC,0.8575106243870604,-1701.5154053612407
GBA,0.5076311703170919,-998.9089469597808
PS,-0.2379505148741493,504.4188715675206
