--- Bereinigungs-Log: Spalte 'Year' ---
Anzahl fehlerhafter Einträge gefunden: 165

                                                                   Name        Platform  Year
8767                                          Reader Rabbit Twond Grade             Wii     0
8790                                           Mountain Bike Adrenaline           PSTow     0
8796                                       Tour de France TwoZeroOneOne   XThreeSixZero     0
8801                                                        Drill Dozer             GBA     0
8886                                                    Battle vs Chess         PSThree     0
9305                                               BLUE Legend of Water              PS     0
9307                                           Luxor Pharaohs Challenge             Wii     0
9447                                          Sega Rally TwoZeroZeroSix           PSTow     0
9575                                                             Swords             Wii     0
9581                                                HalfMinute Hero Two             PSP     0
9582                                                  Clockwork Empires              PC     0
9608                                                       Housekeeping              DS     0
9656                                                         Sabre Wulf             GBA     0
9742                                               Beyond the Labyrinth         ThreeDS     0
9761                                                Bikkuriman Daijiten              DS     0
9776                                Majesty Two The Fantasy Kingdom Sim   XThreeSixZero     0
9823                                    Fullmetal Alchemist Brotherhood             PSP     0
9942                               Samurai Spirits Tenkaichi Kenkakuden           PSTow     0
10067                                                 Super Duper Sumos             GBA     0
10176                                          Legacy of Ys Books I  II              DS     0
10181                       The King of Fighters Maximum Impact  Maniax              XB     0
10195                            Combat Wings The Great Battles of WWII             Wii     0
10232                                                       Tube Slider              GC     0
10248     Umineko no Naku Koro ni San Shinjitsu to Gensou no Yasoukyoku         PSThree     0
10290                                        Wii de Asobu Metroid Prime             Wii     0
10291                                              Payout Poker  Casino             PSP     0
10432                                                             Saint             Wii     0
10437                                                    Steal Princess              DS     0
10642                           YuGiOh FiveDs Wheelie Breakers JP sales             Wii     0
10746                        Writing and Speaking Beautiful Japanese DS              DS     0
10779                                                      Virtua Quest           PSTow     0
10814                               Shonen Jumps YuGiOh GX Card Almanac              DS     0
10848                                 Football Manager TwoZeroZeroSeven   XThreeSixZero     0
10895                                       Ferrari The Race Experience             Wii     0
10943                                    Dinotopia The Sunstone Odyssey              GC     0
10961                                                       Jet Impulse              DS     0
10975                                                      Dream Dancer              DS     0
11090                                       Aquaman Battle for Atlantis              XB     0
11182                                   Homeworld Remastered Collection              PC     0
11184                                                            Shorts              DS     0
11220                                        Agarest Senki Reappearance         PSThree     0
11309                                        Hakuouki Shinsengumi Kitan         PSThree     0

Nach der Imputation verbleibende NaNs: 0
