,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
NA_Sales,1.0,0.7699389352164662,0.4648755091588605,0.6290312335071778,0.941409222918053
EU_Sales,0.7699389352164662,1.0,0.4564530567339143,0.7163365263866726,0.9028982515446112
JP_Sales,0.4648755091588605,0.4564530567339143,1.0,0.30054938812999177,0.6295251355923542
Other_Sales,0.6290312335071778,0.7163365263866726,0.30054938812999177,1.0,0.740455979402415
Global_Sales,0.941409222918053,0.9028982515446112,0.6295251355923542,0.740455979402415,1.0
